Grapheme	target	simple_target	segment_type	notes
a	a	a	v	
g	ɡ	ɡ	c	would be [ɣ] in other dialects
h	h	h	c	
i	i	i	v	
j	j	j	c	
k	k	k	c	
l	l	l	c	
ll	ɬ	ɬ	c	might be inherently long
m	m	m	c	
n	n	n	c	
ng	ŋ	ŋ	c	
nng	ŋː	ŋː	c	
p	p	p	c	
q	q	q	c	
r	ʁ	ʁ	c	
rng	ɴː	ɴ	c	length doubtful, guessed from Kalaallisut
s	s	s	c	
t	t	t	c	
u	u	u	v	
v	v	v	c	
A	a	a	v	
?	NULL	NULL	NULL	
I	i	i	v	
T	t	t	c	
P	p	p	c	
S	s	s	c	
Q	q	q	c	
N	n	n	c	
K	k	k	c	
U	u	u	v	
-	NULL	NULL	NULL	
M	m	m	c	
e	e	e	v	
o	o	o	v	
L	l	l	c	
H	h	h	c	
y	j	j	c	Not sure about this
J	j	j	c	
d	d	d	c	
c	c	c	c	
b	b	b	c	
f	f	f	c	
R	r	r	c	
w	w	w	c	
x	x	x	c	
G	ɡ	ɡ	c	
C	c	c	c	
B	b	b	c	
F	f	f	c	
W	w	w	c	
E	e	e	c	
D	d	d	c	
O	o	o	c	
V	v	v	c	
Y	j	j	c	
'	NULL	NULL	NULL	
z	z	z	c	
\"	NULL	NULL	NULL	
X	x	x	c	
