Grapheme	target	simple_target	segment_type	notes
a	a	a	v
aa	aː	aː	v
b	b	b	c
by	bʲ	bʲ	c
ch	tɕ	t̠ʃ	c
d	d̪	d	c
e	e̞	e	v
ee	e̞ː	eː	v
f	ɸ	ɸ	c
g	ɡ	ɡ	c
gy	ɡʲ	ɡʲ	c
h	h	h	c
hy	ç	ç	c
i	i	i	v
j	dʑ	d̠ʒ	c	d̠ʒ
k	k	k	c
ky	kʲ	kʲ	c
m	m	m	c
my	mʲ	mʲ	c
n	n̪	n	c
ny	ɲ	ɲ	c
o	o̞	o	v
oo	o̞ː	oː	v
p	p	p	c
py	pʲ	pʲ	c
r	ɾ	r	c
ry	ɾʲ	rʲ	c
sh	ɕ	ʃ	c
t	t̪	t	c
ts	ts	ts	c
u	ɯ	u	v	Rob put initially ɯ̹̈ in target then ɯ
uu	ɯː	uː	v	Rob put initially ɯ̹̈ː in target then ɯː
w	ʋ	w	c
y	j	j	c
z	z	z	c
:	NULL	NULL	NULL	
q	q	q	c
ʃ	ʃ	ʃ	c	
_	NULL	NULL	NULL	
s	s	s	c	
S	s	s	c
K	k	k	c	
M	m	m	c	
T	t	t	c	
N	n	n	c	
ŋ	ŋ	ŋ	c	
A	a	a	v	
ʒ	ʒ	ʒ	c	
O	o	o	v	
H	h	h	c	
R	ɾ	r	c
P	p	p	c	
B	b	b	c	
^	NULL	NULL	NULL	
l	l	l	c	
ɽ	ɽ	ɽ	c	
D	d	d	c	
G	ɡ	ɡ	c	
?	NULL	NULL	NULL	
J	dʑ	d̠ʒ	c
F	ɸ	ɸ	c	
ɘ	ɘ	ɘ	v	
Y	j	j	c
I	i	i	v	
C	c	c	c	
E	e	e	v	
Z	z	z	c	
U	ɯː	uː	v	Rob put initially ɯ̹̈ː in target
ʔ	ʔ	ʔ	c	
v	v	v	c	
W	ʋ	w	c
ç	ç	ç	c	
θ	NULL	NULL	NULL	
-	NULL	NULL	NULL	
ə	ə	ə	v	
Q	q	q	c	
x	x	x	c	
ち	NULL	NULL	NULL	
ゃ	NULL	NULL	NULL	
\"	NULL	NULL	NULL	
(	NULL	NULL	NULL	
)	NULL	NULL	NULL	
あ	NULL	NULL	NULL	
ん	NULL	NULL	NULL	
'	NULL	NULL	NULL	
L	l	l	c	
ば	NULL	NULL	NULL	
V	v	v	c	
X	x	x	c	
え	NULL	NULL	NULL	
ʼ	NULL	NULL	NULL	
Φ	ɸ	ɸ	c	
ぁ	NULL	NULL	NULL	
お	NULL	NULL	NULL	
ー	NULL	NULL	NULL	
ぶ	NULL	NULL	NULL	
き	NULL	NULL	NULL	
の	NULL	NULL	NULL	
ア	NULL	NULL	NULL	
リ	NULL	NULL	NULL	
ト	NULL	NULL	NULL	
ッ	NULL	NULL	NULL	
