Grapheme	target	simple_target	segment_type	notes
a	a	a	v	
b	b	b	c	
c	ts	ts	c	
ch	tɕ	tɕ	c	
d	d	d	c	
e	eʲ	eʲ	v	
eh	ɛ	ɛ	v	assuming separate phoneme parallel to i : ɨ
f	f	f	c	
g	ɡ	ɡ	c	
i	iʲ	iʲ	v	
j	j	j	c	
k	k	k	c	
l	l	l	c	
m	m	m	c	
n	n	n	c	
o	o	o	v	
p	p	p	c	
q	ʲ	ʲ	c	this would be the mjaxkij znak in any normal system
qe	jeʲ	jeʲ	cv	
qhe	je	je	cv	this would be the tvjordyj znak + e in any normal system
qi	ji	ji	cv	
r	r	r	c	
s	s	s	c	
sh	ʃ	ʃ	c	
shch	ɕː	ɕː	c	
shq	ʃ	ʃ	c	
t	t	t	c	
u	u	u	v	
v	v	v	c	
w	v	v	c	
x	x	x	c	
y	ɨ	ɨ	v	
z	z	z	c	
zh	ʒ	ʒ	c	
h	h	h	c	
-	NULL	NULL	NULL	
A	a	a	v	
S	s	s	c	
M	m	m	c	
P	p	p	c	
K	k	k	c	
V	v	v	c	
B	b	b	c	
L	l	l	c	
N	n	n	c	
T	t	t	c	
D	d	d	c	
J	j	j	c	
G	ɡ	ɡ	c	
Z	z	z	c	
O	o	o	v	
I	iʲ	iʲ	v	
R	r	r	c	
F	f	f	c	
E	eʲ	eʲ	v	
C	ts	ts	c	
`	NULL	NULL	NULL	
?	NULL	NULL	NULL	
U	u	u	v	
X	x	x	c	
1	NULL	NULL	NULL	
*	NULL	NULL	NULL	
~	NULL	NULL	NULL	
3	NULL	NULL	NULL	
9	NULL	NULL	NULL	
5	NULL	NULL	NULL	
W	v	v	c	
0	NULL	NULL	NULL	
8	NULL	NULL	NULL	
2	NULL	NULL	NULL	
4	NULL	NULL	NULL	
7	NULL	NULL	NULL	
6	NULL	NULL	NULL	
_	NULL	NULL	NULL	
#	NULL	NULL	NULL	
(	NULL	NULL	NULL	
)	NULL	NULL	NULL	
%	NULL	NULL	NULL	
Y	ɨ	ɨ	v	
\	NULL	NULL	NULL	
;	NULL	NULL	NULL	
[	NULL	NULL	NULL	
]	NULL	NULL	NULL	
$	NULL	NULL	NULL	
H	h	h	c	
«	NULL	NULL	NULL	
»	NULL	NULL	NULL	
}	NULL	NULL	NULL	
