Grapheme	target	simple_target	segment_type	notes
a	ɑ	a	v	
b	b	b	c	
c	d̠ʒ	d̠ʒ	c	
ç	t̠ʃ	t̠ʃ	c	
d	d̪	d̠ʒ	c	
e	e̞	e	v	
f	f	f	c	
g	ɡ	ɡ	c	
ğ	NULL	NULL	c	see rules - this is essentially length
h	h	h	c	
i	i	i	v	
ı	ɯ	ɯ	v	
j	ʒ	ʒ	c	
k	k	k	c	
l	l̪	l	c	
m	m	m	c	
n	n̪	n	c	
o	o̞	o	v	
ö	ø̞	ø	v	
p	p	p	c	
r	r	r	c	
s	s	s	c	
ş	ʃ	ʃ	c	
t	t̪	t	c	
u	u	u	v	
ü	y	y	v	
v	v	v	c	
y	j	j	c	
ý	j	j	c	
z	z	z	c	
_	NULL	NULL	NULL
\'	NULL	NULL	NULL
A	ɑ	a	v	
S	s	s	c	
E	e̞	e	v	
B	b	b	c	
T	t	t	c	
D	d	d	c	
M	m	m	c	
C	d̠ʒ	d̠ʒ	c	
K	k	k	c	
G	ɡ	ɡ	c	
İ	i	i	v	
N	n	n	c	
?	NULL	NULL	NULL
H	h	h	c	
P	p	p	c	
F	f	f	c
Y	j	j	c	
x	x	x	c	
w	w	w	c	
O	o̞	o	v	
-	NULL	NULL	NULL
Ö	ø̞	ø	v	
Z	z	z	c	
Ç	t̠ʃ	t̠ʃ	c	
Ş	ʃ	ʃ	c	
J	ʒ	ʒ	c	
R	r	r	c	
V	v	v	c	
L	l̪	l	c	
I	i	i	v	
Ü	y	y	v	
W	w	w	c	
U	u	u	v	
q	q	q	c	
Ý	j	j	c	
\"	NULL	NULL	NULL
ì	i	i	v	
â	ɑ	a	v	
î	i	i	v	
